Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer,FullCharacteristicName,Acute,Chronic
USGS,U.S. Geological Survey,"[""USGS"",""10RE2D2P9""]",,,,,,USGS-07099200,"ARKANSAS RIVER NEAR PORTLAND, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200020603.0,,,38.33722178342077,-104.93889055039602,NAD83,38.33722178342077,-104.93889055039602,NAD83,,9ae07129-971b-4b5c-8042-4ca6cbf2f452,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Colorado Water Science Center,"L-2630096 Received September 17, 2010",,,,,,,,,,,,2010-09-15,18:15:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,Not Detected,1-Methylnaphthalene,"1-Methylnaphthalene, water, filtered, recoverable",90-12-0,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,1559301b-898d-4dc7-bcea-4cbbf47ed4eb,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.022,ug/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,Laboratory Reporting Level,0.022,ug/L,Quantitation limit value of the specified type,,,,,,GCM37,USDOI/USGS,NWQL Schedule 1433,,"DESCRIPTION: Waste indicator, filtered water, solid phase extraction, gas chromatography/mass spectrometry (NWQL Schedule 1433); CITATION(S): Zaugg, S.D., Smith, S.G., Schroeder, M.P., Barber, L.B., and Burkhardt, M.R., 2002, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory---Determination of wastewater compounds by polystyrene-divinylbenzene solid-phase extraction and capillary-column gas chromatography/mass spectrometry: U.S. Geological Survey Water-Resources Investigations Report 01-4186, 37 p. | USGS | O-1433-01",,,,"USGS-National Water Quality Lab, Denver, CO",2010-12-01,,,,,,,,,,,,,,,,,,,,,,USGS,,"Organics, Other",Federal/US Government,2025-09-16,62054.0,,Filtered field and/or lab 1-Methylnaphthalene,,
USGS,U.S. Geological Survey,"[""USGS"",""00D2P9900""]",,,,,,USGS-07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200021204.0,,,38.2480579948478,-104.399135623992,NAD83,38.2480579948478,-104.399135623992,NAD83,,ebf1d4e3-97d6-465a-ab09-e42675e1a72e,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,"A-3430032 Need lab filtering L-3430032 Extra GCC recvd WSC contacted, paa Verified 2nd GCC is a spare, paa, 12/9/10",,,,,,,,,,,,2010-12-08,10:30:00,MST,,,,,,,,,,,,70.0,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,"2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol","4-tert-Octylphenol monoethoxylate (4-t-OP1EO), water, filtered, recoverable",2315-67-5,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,e5c66666-189c-4ab6-a68d-03cefd83e9b4,0.0,ug/L,,Accepted,,,Estimated,,,,,,,,,,The parameter 61706 is a highly variable compound in schedule 11433 Unable to add Qualifier: c,,,,,Interim Reporting Level,1.0,ug/L,Quantitation limit value of the specified type,,,,,,GCM37,USDOI/USGS,NWQL Schedule 1433,,"DESCRIPTION: Waste indicator, filtered water, solid phase extraction, gas chromatography/mass spectrometry (NWQL Schedule 1433); CITATION(S): Zaugg, S.D., Smith, S.G., Schroeder, M.P., Barber, L.B., and Burkhardt, M.R., 2002, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory---Determination of wastewater compounds by polystyrene-divinylbenzene solid-phase extraction and capillary-column gas chromatography/mass spectrometry: U.S. Geological Survey Water-Resources Investigations Report 01-4186, 37 p. | USGS | O-1433-01",,,,"USGS-National Water Quality Lab, Denver, CO",2011-03-01,,,,,,[b - value extrapolated at low end];[m - value is highly variable by this method];[t - below the detection level],,,,,,,,,,,,,,,,USGS,,"Organics, Other",Federal/US Government,2025-04-22,61706.0,,"Filtered field and/or lab 2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol",,
USGS,U.S. Geological Survey,"[""USGS"",""460823240""]",,,,,,USGS-07097000,"ARKANSAS RIVER AT PORTLAND, CO.",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002.0,110200020603.0,,,38.3883341793617,-105.016096124015,NAD83,38.3883341793617,-105.016096124015,NAD83,,53b593b1-a1d0-48ff-ae75-0d970ca62a4a,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1992-06-26,14:00:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US D-74,,,,,,,,,,,,,Peak stage,Snowmelt,,,,,,Alpha particle,"Gross alpha radioactivity as natural uranium (U-nat), suspended sediment, natural uranium curve",12587-46-1,as U-nat,,,,,,,,,,,,,,,,,,,,4cd86fa8-e398-4250-b4b3-22a17cd4346a,12.0,ug/L,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,00147,USDOI/USGS,Invalid or undocumented meth no,,DESCRIPTION: Invalid or undocumented method number; CITATION(S): USGS | R-7120-79,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Radiochemical,Federal/US Government,2025-04-21,80040.0,,Alpha particle,,
USGS,U.S. Geological Survey,"[""USGS"",""8582D2P99""]",,,,,,USGS-07121500,"TIMPAS CREEK AT MOUTH NEAR SWINK, CO.",Stream,,Colorado,United States of America,Otero County,US,CO,,11020005.0,110200050611.0,,,38.0030643988711,-103.656058752804,NAD83,38.0030643988711,-103.656058752804,NAD83,,fa22e243-f4b9-41ba-93b2-b7ad6420d620,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2010-06-29,12:45:00,MDT,,,,,,,,,,,,70.0,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Aluminum,"Aluminum, water, filtered",7429-90-5,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,523ad2d6-4a66-4d6a-ab66-ef0e4d6e515a,2.3,ug/L,,Accepted,,,Estimated,,,,,,,,,,,,,,,Laboratory Reporting Level,3.4,ug/L,Quantitation limit value of the specified type,,,,,,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-mass spectrometry; CITATION(S): Faires, L.M., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of metals in water by inductively coupled plasma-mass spectrometry: U.S. Geological Survey Open-File Report 92-634, 28 p. | USGS | I-2477-92",,,,"USGS-National Water Quality Lab, Denver, CO",2010-07-10,,,,,,[n - below the reporting level but at or above the detection level],,,,,,,,,,,,,,,,USGS,,"Inorganics, Minor, Metals",Federal/US Government,2025-04-21,1106.0,,Filtered field and/or lab Aluminum,,
USGS,U.S. Geological Survey,"[""USGS"",""8582D2P99""]",,,,,,USGS-07097000,"ARKANSAS RIVER AT PORTLAND, CO.",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002.0,110200020603.0,,,38.3883341793617,-105.016096124015,NAD83,38.3883341793617,-105.016096124015,NAD83,,7f6508a0-89a7-4a52-9cee-d13902bf35b9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,"L-2030077 WCA condition changed to improper preservation, JNV",,,,,,,,,,,,2010-07-20,14:50:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Aluminum,"Aluminum, water, filtered",7429-90-5,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,b1488c19-32df-43b4-8bb2-c10817a8003e,8.7,ug/L,,Accepted,,,Actual,,,,,,,,,,,,,,,Laboratory Reporting Level,3.4,ug/L,Quantitation limit value of the specified type,,,,,,PLM43,USDOI/USGS,"Metals, wf, ICP-MS",,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-mass spectrometry; CITATION(S): Faires, L.M., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of metals in water by inductively coupled plasma-mass spectrometry: U.S. Geological Survey Open-File Report 92-634, 28 p. | USGS | I-2477-92",,,,"USGS-National Water Quality Lab, Denver, CO",2010-08-24,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Minor, Metals",Federal/US Government,2025-04-21,1106.0,,Filtered field and/or lab Aluminum,,
USGS,U.S. Geological Survey,"[""USGS"",""460823240""]",,,,,,USGS-07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200021204.0,,,38.2480579948478,-104.399135623992,NAD83,38.2480579948478,-104.399135623992,NAD83,,d38f0bb1-09fc-4b2c-a8c6-004384c8e666,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1990-12-17,15:50:00,MST,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),,,,,,,,,,,,,,"Stable, low stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, unfiltered",,as N,Unfiltered,,,,,,,,,,,,,,,,,,,34560362-578c-4138-bea2-fabd6631f4b9,0.21,mg/L,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL075,USDOI/USGS,"Ammonia, wu, ASF indophenol",,"DESCRIPTION: Ammonia in unfiltered water by automated segmented flow (ASF) formation of indophenol and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 321-324. | USGS | I-4523-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,610.0,,Unfiltered Ammonia and ammonium,,
USGS,U.S. Geological Survey,"[""USGS"",""85820034C""]",,,,,,USGS-381559104465500,PUEBLO RESERVOIR SITE 5C,"Lake, Reservoir, Impoundment",,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200020805.0,,,38.2663917997302,-104.782479503373,NAD83,38.2663917997302,-104.782479503373,NAD83,,0773328b-f10b-4b62-8b47-d1119d71e090,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2004-09-29,11:30:00,MDT,,,,0.1,ft,,,,,,,50.0,USDOI/USGS,Point sample,,Point / Grab: Point sample,Double-valve bailer,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,c13bdbbb-5e51-4902-9f0c-a11b8ca5be48,0.014,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,Laboratory Reporting Level,0.01,mg/L,Quantitation limit value of the specified type,,,,,,CL039,USDOI/USGS,"Nutrients, LL, wf, color",,"DESCRIPTION: Nutrients, low level, filtered water, salicylate-hypochlorite, colorimetric; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 119-124. | USGS | I-2525-89",,,,,2004-10-01,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,608.0,,Filtered field and/or lab Ammonia and ammonium,,
USGS,U.S. Geological Survey,"[""USGS"",""460823240""]",,,,,,USGS-07097000,"ARKANSAS RIVER AT PORTLAND, CO.",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002.0,110200020603.0,,,38.3883341793617,-105.016096124015,NAD83,38.3883341793617,-105.016096124015,NAD83,,5382bb93-17c3-4b31-9578-62aad97e3eeb,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1990-11-02,10:15:00,MST,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-48,,,,,,,,,,,,,Rising stage,Regulated flow,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, unfiltered",,as N,Unfiltered,,,,,,,,,,,,,,,,,,,b5501998-19b9-48cf-83a0-c1fd5465567b,0.02,mg/L,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL075,USDOI/USGS,"Ammonia, wu, ASF indophenol",,"DESCRIPTION: Ammonia in unfiltered water by automated segmented flow (ASF) formation of indophenol and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 321-324. | USGS | I-4523-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,610.0,,Unfiltered Ammonia and ammonium,,
USGS,U.S. Geological Survey,"[""USGS"",""000034A00""]",,,,,,USGS-381559104465500,PUEBLO RESERVOIR SITE 5C,"Lake, Reservoir, Impoundment",,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200020805.0,,,38.2663917997302,-104.782479503373,NAD83,38.2663917997302,-104.782479503373,NAD83,,54a7d795-67ae-4087-9b04-acbd9461dded,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2022-06-01,11:15:00,MDT,,,,0.1,ft,,,,,,,70.0,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,36e10423-cec7-417a-8004-cd404c3bdb7d,0.05,mg/L,,Accepted,,,Actual,,,,,,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing,,,,,Detection limit by DQCALC,0.02,mg/L,Quantitation limit value of the specified type,,,,,,SHC02,USDOI/USGS,"Ammonia, wf, DA sal/hypo (NWQL)",,"DESCRIPTION: Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 125-132. | USGS | I-2522-90 |<--->| Harfmann, R.G., and Crouch, J.D., 1989, Kinetic study of Berthelot reaction steps in the absence and presence of coupling reagents: Talanta, v. 36, p. 261-269. |<--->| Krom, M.D., 1980, Spectrophotometric determination of ammonia--A study of a modified Berthelot reaction using salicylate and dichloroisocyanurate: Analyst, v. 105, p. 305-316. |<--->| Patton, C.J., and Crouch, S.R., 1977, Spectrophotometric and kinetics investigation of the Berthelot reaction for the determination of ammonia: Analytical Chemistry, v. 49, p. 464-469.",,,,"USGS-National Water Quality Lab, Denver, CO",2022-06-30,,,,,,[@ - holding time exceeded];[c - see result laboratory comment],,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,608.0,,Filtered field and/or lab Ammonia and ammonium,,
USGS,U.S. Geological Survey,"[""USGS"",""000034A00""]",,,,,,USGS-381725104494400,PUEBLO RESERVOIR SITE 3B,"Lake, Reservoir, Impoundment",,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200020805.0,,,38.2902803843723,-104.829425128018,NAD83,38.2902803843723,-104.829425128018,NAD83,,9bcc858d-150b-4694-9ca2-52cbbe2b733c,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2014-06-10,14:00:00,MDT,,,,0.1,ft,,,,,,,70.0,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,b148a88d-ed05-457c-b6a1-1746918ff795,0.04,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,Long Term Method Detection Level,0.01,mg/L,Quantitation limit value of the specified type,,,,,,SHC02,USDOI/USGS,"Ammonia, wf, DA sal/hypo (NWQL)",,"DESCRIPTION: Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 125-132. | USGS | I-2522-90 |<--->| Harfmann, R.G., and Crouch, J.D., 1989, Kinetic study of Berthelot reaction steps in the absence and presence of coupling reagents: Talanta, v. 36, p. 261-269. |<--->| Krom, M.D., 1980, Spectrophotometric determination of ammonia--A study of a modified Berthelot reaction using salicylate and dichloroisocyanurate: Analyst, v. 105, p. 305-316. |<--->| Patton, C.J., and Crouch, S.R., 1977, Spectrophotometric and kinetics investigation of the Berthelot reaction for the determination of ammonia: Analytical Chemistry, v. 49, p. 464-469.",,,,"USGS-National Water Quality Lab, Denver, CO",2014-06-16,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,608.0,,Filtered field and/or lab Ammonia and ammonium,,
