Name,Latitude,Longitude
BESSEMER DITCH,38.22011111,-104.5359722
BOOTH CANAL,38.27222,-104.53942
EXCELSIOR DITCH,38.2694466,-104.434414
COLLIER DITCH,38.24232,-104.33391
COLORADO CANAL,38.24861304,-104.2463546
OXFORD CANAL,38.17694835,-104.1446855
OTERO CANAL,38.0313973,-103.7363394
CATLIN CANAL,38.1247281,-103.9424573
HOLBROOK CANAL,38.114729,-103.7874516
ROCKY FORD DITCH,38.17833715,-104.1549636
FORT LYON STORAGE CANAL,38.09805556,-103.5644444
FORT LYON CANAL,38.00834206,-103.5755
KICKINGBIRD CANAL,38.17333115,-103.9144766
KEESEE DITCH,38.2544,-104.6091
FORT BENT CANAL,38.07904126,-102.6371956
AMITY CANAL,38.13661555,-102.3575328
LAMAR CANAL,38.09595108,-102.4903374
HYDE CANAL,38.12925987,-102.554125
BUFFALO CANAL (ARKANSAS),38.05639873,-102.2268549
