Stream Mile,Name
225.04,"ARKANSAS RIVER AT PORTLAND, CO."
203.17,BESSEMER DITCH AT ST. CHARLES WD NEAR PUEBLO CO
203.08,PUEBLO RESERVOIR
202.66,"ARKANSAS RIVER ABOVE PUEBLO, CO"
194,"ARKANSAS RIVER BELOW MOFFAT STREET AT PUEBLO, CO."
193.03,"FOUNTAIN CREEK AT PUEBLO, CO."
192.93,Booth Canal
191,SALT CREEK AT HWY 50
186.27,EXCELSIOR DITCH
184.67,"ST. CHARLES RIVER AT VINELAND, CO."
179.35,ARKANSAS RIVER NEAR AVONDALE
176.13,COLLIER DITCH
173.16,COLORADO CANAL
168.97,"HUERFANO RIVER NEAR BOONE, CO."
167.76,ARKANSAS RIVER BL ROCKY FORD HIGHLINE HEADGATE
160.85,OXFORD CANAL
157.79,"ARKANSAS RIVER NEAR NEPESTA, CO."
149,OTERO CANAL
142.28,"APISHAPA RIVER NEAR FOWLER, CO"
142.18,"CATLIN CANAL AT MILE 0.1, NEAR FOWLER, CO."
142.17,"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO"
134.81,"HOLBROOK CANAL AT MILE 3.4, NEAR ROCKY FORD, CO."
133.31,ROCKY FORD DITCH
132.29,"FORT LYON CANAL NEAR LAS ANIMAS, CO"
,"LAKE MEREDITH OUTLET AT HWY 71 NR ORDWAY, CO"
129.52,"LAKE MEREDITH OUTLET AT HWY 71 NR ORDWAY, CO"
 ,"LAKE MEREDITH OUTLET AT HWY 71 NR ORDWAY, CO"
122.7,"ARKANSAS RIVER NEAR ROCKY FORD, CO."
117.19,"TIMPAS CREEK AT MOUTH NEAR SWINK, CO."
116.29,HOLBROOK RESERVOIR CANAL OUTLET
113.91,"FORT LYON CANAL NEAR LAS ANIMAS, CO"
113.01,"CROOKED ARROYO NEAR SWINK, CO."
109.81,"ARKANSAS RIVER AT LA JUNTA, CO"
94.03,"HORSE CREEK NEAR LAS ANIMAS, CO"
93.22,LAS ANIMAS CONSOL DI AT MI 1.3 NR LAS ANIMAS CO.
,"HORSE CREEK NEAR LAS ANIMAS, CO"
,"ADOBE CREEK AT HWY 194 NR LAS ANIMAS, CO"
89.9,"HORSE CREEK NEAR LAS ANIMAS, CO"
84.5,"ARKANSAS RIVER AT LAS ANIMAS, CO."
80.68,"PURGATOIRE RIVER NEAR LAS ANIMAS, CO"
70.99,KICKINGBIRD CANAL
62.08,JOHN MARTIN RESERVOIR
55.73,KEESEE DITCH
55.73,FORT BENT CANAL
54.86,"ARKANSAS RIVER AT LAMAR, CO"
48.6,Amity Canal @ Santa Fe Trl
40.3,"ARKANSAS RIVER AT LAMAR, CO"
36.02,HYDE DITCH
30.18,"ARKANSAS RIVER NEAR GRANADA, CO."
24.34,X-Y IRRIGATING DITCH
18.18,BUFFALO CANAL (ARKANSAS)
16.98,"ARKANSAS RIVER NEAR GRANADA, CO."
0.01,ARKANSAS RIVER COMPACT(COLORADO-KANSAS STATE LINE)
