Site_Number,Site_Name,WQX_Site_Name
07094500,"ARKANSAS RIVER AT PARKDALE, CO.","ARKANSAS RIVER AT PARKDALE, CO."
07099400,"ARKANSAS RIVER ABOVE PUEBLO, CO","ARKANSAS RIVER ABOVE PUEBLO, CO"
07099970,"ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO, CO","ARKANSAS RIVER BELOW MOFFAT STREET AT PUEBLO, CO."
07106500,"FOUNTAIN CREEK AT PUEBLO, CO.","FOUNTAIN CREEK AT PUEBLO, CO."
07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.","ARKANSAS RIVER NEAR AVONDALE, CO."
07119700,"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.","ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO."
07120500,"ARKANSAS RIVER NEAR ROCKY FORD, CO.","ARKANSAS RIVER NEAR ROCKY FORD, CO."
07123000,"ARKANSAS RIVER AT LA JUNTA, CO","ARKANSAS RIVER AT LA JUNTA, CO"
07124000,"ARKANSAS RIVER AT LAS ANIMAS, CO.","ARKANSAS RIVER AT LAS ANIMAS, CO."
07130500,"ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.","ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO."
07133000,"ARKANSAS RIVER AT LAMAR, CO","ARKANSAS RIVER AT LAMAR, CO"
07134180,"ARKANSAS RIVER NEAR GRANADA, CO.","ARKANSAS RIVER NEAR GRANADA, CO."
