Org_Identifier,Org_FormalName,ProviderName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC
USGS,U.S. Geological Survey,USGS,USGS-07097000,"ARKANSAS RIVER AT PORTLAND, CO.",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002,110200020603,,,38.3883341793617,-105.016096124015,NAD83,38.3883341793617,-105.016096124015,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099050,"BEAVER CR ABV UPPER BEAVER CEMETERY NR PENROSE, CO",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002,110200020506,,,38.5616622818747,-105.021925691378,NAD83,38.5616622818747,-105.021925691378,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099060,"BEAVER CREEK ABOVE HIGHWAY 115 NEAR PENROSE, CO",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002,110200020506,,,38.4891658179933,-104.997483163205,NAD83,38.4891658179933,-104.997483163205,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099080,"RED CREEK BELOW SULLIVAN PARK AT FORT CARSON, CO",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002,110200020505,,,38.4997222222222,-104.913333333333,NAD83,38.4997222222222,-104.913333333333,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099100,"BEAVER CREEK NEAR PORTLAND, CO.",Stream,,Colorado,United States of America,Fremont County,US,CO,,11020002,110200020507,,,38.3741679281553,-104.964150386422,NAD83,38.3741679281553,-104.964150386422,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099200,"ARKANSAS RIVER NEAR PORTLAND, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002,110200020603,,,38.33722178342077,-104.93889055039602,NAD83,38.33722178342077,-104.93889055039602,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099215,"TURKEY CREEK NEAR FOUNTAIN, CO",Stream,,Colorado,United States of America,El Paso County,US,CO,,11020002,110200020701,,,38.6116616775182,-104.894699017296,NAD83,38.6116616775182,-104.894699017296,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099230,"TURKEY CREEK AB TELLER RES NEAR STONE CITY, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002,110200020703,,,38.4649998912205,-104.827200852622,NAD83,38.4649998912205,-104.827200852622,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099990,"FOUNTAIN CREEK AT GREEN MOUNTAIN FALLS, CO",Stream,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030201,,,38.9388794445211,-105.015815289935,NAD83,38.9388794445211,-105.015815289935,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-07099233,"TELLER RESERVOIR NEAR STONE CITY, CO.","Lake, Reservoir, Impoundment",,Colorado,United States of America,Pueblo County,US,CO,,11020002,110200020703,,,38.4425,-104.825833333333,NAD83,38.4425,-104.825833333333,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
