Beta_Location_Name,Beta_Location_Identifier,Beta_Lat,Beta_Long,Old_MonitoringLocationName,Old_MonitoringLocationIdentifier,Old_Lat,Old_Long,Distance_Degrees,Distance_Meters,Names_Match,IDs_Match
LF2 W Site - South Well,LOWERARKVALLEYWATERCONSDIST-Diamond A West South,37.9715,-103.6493,LF2 W Site - South Well,LOWERARKVALLEYWATERCONSDIST-Diamond A West South,37.9715,-103.6493,0.0,0.0,True,True
ARKANSAS RIVER AT C.R. 24.5,21COL001_WQX-PEST-38,38.0273,-103.628233,ARKANSAS RIVER AT C.R. 24.5,21COL001_WQX-PEST-38,38.0273,-103.628233,0.0,0.0,True,True
GREENHORN CREEK ABOVE RYE,21COL001_WQX-7217,37.921022,-104.967302,GREENHORN CREEK ABOVE RYE,21COL001_WQX-7217,37.921022,-104.967302,0.0,0.0,True,True
Monument Cr - Baptist Rd,CORIVWCH_WQX-617,39.05662261,-104.8631111,Monument Cr - Baptist Rd,CORIVWCH_WQX-617,39.05662261,-104.8631111,0.0,0.0,True,True
Adobe Cr - LA-F003,CORIVWCH_WQX-4841,38.2145,-103.2896,Adobe Cr - LA-F003,CORIVWCH_WQX-4841,38.2145,-103.2896,0.0,0.0,True,True
Arkansas - Northgate Pond #1,CORIVWCH_WQX-6306,38.105327,-102.615593,Arkansas - Northgate Pond #1,CORIVWCH_WQX-6306,38.105327,-102.615593,0.0,0.0,True,True
"Arkansas - Midwestern Farms Pond West, Surface",CORIVWCH_WQX-6307,38.045517,-102.19065,"Arkansas - Midwestern Farms Pond West, Bottom",CORIVWCH_WQX-6310,38.045517,-102.19065,0.0,0.0,False,False
Fountain Cr - At 31st St,CORIVWCH_WQX-5030,38.8522,-104.8725,Fountain Cr - At 31st St,CORIVWCH_WQX-5030,38.8522,-104.8725,0.0,0.0,True,True
WILDHORSE CREEK D/S HWY 50,21COL001_WQX-7294B,38.306719,-104.652221,WILDHORSE CREEK D/S HWY 50,21COL001_WQX-7294B,38.306719,-104.652221,0.0,0.0,True,True
Purgatoire - LA-PR04,CORIVWCH_WQX-4813,37.7462,-103.5131,Purgatoire - LA-PR04,CORIVWCH_WQX-4813,37.7462,-103.5131,0.0,0.0,True,True
Black Squirrel Cr - LA-PR11,CORIVWCH_WQX-4801,38.4485,-104.386,Black Squirrel Cr - LA-PR11,CORIVWCH_WQX-4801,38.4485,-104.386,0.0,0.0,True,True
HOLBROOK LAKE SITE 1 TOP,21COL001_WQX-7526H1,38.0622,-103.609394,HOLBROOK LAKE SITE 1 TOP,21COL001_WQX-7526H1,38.0622,-103.609394,0.0,0.0,True,True
Fountain Cr - At Security,CORIVWCH_WQX-5032,38.7292,-104.7339,Fountain Cr - At Security,CORIVWCH_WQX-5032,38.7292,-104.7339,0.0,0.0,True,True
May Valley Ditch - Hwy 196,CORIVWCH_WQX-5007,38.11750555,-102.6112769,May Valley Ditch - Hwy 196,CORIVWCH_WQX-5007,38.11750555,-102.6112769,0.0,0.0,True,True
Wolf Creek,NARS_WQX-FW08CO020,38.06505925,-102.3363777,Wolf Creek,NARS_WQX-FW08CO020,38.06505925,-102.3363777,0.0,0.0,True,True
Arkansas - E of Granada Hwy 50,CORIVWCH_WQX-3397,38.05457832,-102.2302415,Arkansas - E of Granada Hwy 50,CORIVWCH_WQX-3397,38.05457832,-102.2302415,0.0,0.0,True,True
"Arkansas - Midwestern Farms Pond East, Bottom",CORIVWCH_WQX-6311,38.051017,-102.181433,"Arkansas - Midwestern Farms Pond East, Bottom",CORIVWCH_WQX-6311,38.051017,-102.181433,0.0,0.0,True,True
ARKANSAS RIVER AT HIGHWAY 385,21COL001_WQX-AR0039,38.0949,-102.3104,ARKANSAS RIVER AT HIGHWAY 385,21COL001_WQX-AR0039,38.0949,-102.3104,0.0,0.0,True,True
Monument Cr - Arnold Rd,CORIVWCH_WQX-5023,39.07279317,-104.8750332,Monument Cr - Arnold Rd,CORIVWCH_WQX-5023,39.07279317,-104.8750332,0.0,0.0,True,True
Arkansas - N of Carlton on McMillian,CORIVWCH_WQX-3394,38.1117,-102.4828,Arkansas - N of Carlton on McMillian,CORIVWCH_WQX-3394,38.1117,-102.4828,0.0,0.0,True,True
Arkansas - E of Granada Hwy 50,CORIVWCH_WQX-3398,38.05405216,-102.2300904,Arkansas - E of Granada Hwy 50,CORIVWCH_WQX-3398,38.05405216,-102.2300904,0.0,0.0,True,True
Horse Cr - Crown Ranch,CORIVWCH_WQX-5041,38.9078,-103.9407,Horse Cr - Crown Ranch,CORIVWCH_WQX-5041,38.9078,-103.9407,0.0,0.0,True,True
Arkansas - Hwy 50 Br,CORIVWCH_WQX-250,38.08124223,-103.2200085,Arkansas - Hwy 50 Br,CORIVWCH_WQX-250,38.08124223,-103.2200085,0.0,0.0,True,True
Arkansas - @ Gauge,CORIVWCH_WQX-475,38.2678,-104.6578,Arkansas - @ Gauge,CORIVWCH_WQX-475,38.2678,-104.6578,0.0,0.0,True,True
HORSE CK @ HWY 194 @ GAGE,21COL001_WQX-7525,38.08475,-103.3533,HORSE CK @ HWY 194 @ GAGE,21COL001_WQX-7525,38.08475,-103.3533,0.0,0.0,True,True
"Arkansas - Midwestern Farms Pond East, Surface",CORIVWCH_WQX-6308,38.051017,-102.181433,"Arkansas - Midwestern Farms Pond East, Surface",CORIVWCH_WQX-6308,38.051017,-102.181433,0.0,0.0,True,True
APISHIPA RIVER NEAR CONFLUENCE WITH ARK R,21COL001_WQX-7700,38.10851,-103.967885,APISHIPA RIVER NEAR CONFLUENCE WITH ARK R,21COL001_WQX-7700,38.10851,-103.967885,0.0,0.0,True,True
ADOBE CREEK RESERVOIR OUTLET,21COL001_WQX-7825O,38.234858,-103.277982,ADOBE CREEK RESERVOIR OUTLET,21COL001_WQX-7825O,38.234858,-103.277982,0.0,0.0,True,True
Monument Cr - Near Ice Lake,CORIVWCH_WQX-951,38.95579159,-104.8330326,Monument Cr - Near Ice Lake,CORIVWCH_WQX-951,38.95579159,-104.8330326,0.0,0.0,True,True
ARKANSAS RIVER AT HWY 227,21COL001_WQX-PEST-49,38.25291,-104.588633,ARKANSAS RIVER AT HWY 227,21COL001_WQX-PEST-49,38.25291,-104.588633,0.0,0.0,True,True
Wildhorse Cr - Hwy 50 W of Pueblo,CORIVWCH_WQX-3403,38.3124,-104.6521,Wildhorse Cr - Hwy 50 W of Pueblo,CORIVWCH_WQX-3403,38.3124,-104.6521,0.0,0.0,True,True
Drip System - Tile Drain,LOWERARKVALLEYWATERCONSDIST-Drip Tile Drain,38.0045,-103.652,Drip System - Tile Drain,LOWERARKVALLEYWATERCONSDIST-Drip Tile Drain,38.0045,-103.652,0.0,0.0,True,True
W Monument C - Air Force Acad,CORIVWCH_WQX-452,38.96392821,-104.8456295,W Monument C - Air Force Acad,CORIVWCH_WQX-452,38.96392821,-104.8456295,0.0,0.0,True,True
Arkansas - 36th Lane Br,CORIVWCH_WQX-603,38.26712448,-104.4572248,Arkansas - 36th Lane Br,CORIVWCH_WQX-603,38.26712448,-104.4572248,0.0,0.0,True,True
S Rush Cr - N Punkin Center,CORIVWCH_WQX-3404,38.89239855,-103.7009414,S Rush Cr - N Punkin Center,CORIVWCH_WQX-3404,38.89239855,-103.7009414,0.0,0.0,True,True
Arkansas - Below La Junta WWTP,CORIVWCH_WQX-480,37.9893,-103.5289,Arkansas - Below La Junta WWTP,CORIVWCH_WQX-480,37.9893,-103.5289,0.0,0.0,True,True
Horse Cr - Pool,CORIVWCH_WQX-3496,38.237831,-103.6351594,Horse Cr - Pool,CORIVWCH_WQX-3496,38.237831,-103.6351594,0.0,0.0,True,True
Fountain Cr - Fountain Cr at Mall,CORIVWCH_WQX-447,38.29777625,-104.6037684,Fountain Cr - Fountain Cr at Mall,CORIVWCH_WQX-447,38.29777625,-104.6037684,0.0,0.0,True,True
S Rush Cr - Pool,CORIVWCH_WQX-3498,38.79162438,-103.4789409,S Rush Cr - Pool,CORIVWCH_WQX-3498,38.79162438,-103.4789409,0.0,0.0,True,True
Bear Cr - Bear Canyon,CORIVWCH_WQX-325,38.820632,-104.891458,Bear Cr - Bear Canyon,CORIVWCH_WQX-325,38.820632,-104.891458,0.0,0.0,True,True
Kiowa Cr - Elbert,CORIVWCH_WQX-63,39.2209,-104.5332,Kiowa Cr - Elbert,CORIVWCH_WQX-63,39.2209,-104.5332,0.0,0.0,True,True
BUFFALO CREEK AT HIGHWAY 385 NORTH OF GRANADA,21COL001_WQX-AR0018,38.1487,-102.311,BUFFALO CREEK AT HIGHWAY 385 NORTH OF GRANADA,21COL001_WQX-AR0018,38.1487,-102.311,0.0,0.0,True,True
Arkansas River near Bent's Old Fort,11NPSWRD_WQX-BEOL_3P_ARKANSR,38.0387,-103.428,Arkansas River near Bent's Old Fort,11NPSWRD_WQX-BEOL_3P_ARKANSR,38.0387,-103.428,0.0,0.0,True,True
LAKE MEREDITH CANAL INLET,21COL001_WQX-7829I,38.229805,-103.684065,LAKE MEREDITH CANAL INLET,21COL001_WQX-7829I,38.229805,-103.684065,0.0,0.0,True,True
Arkansas - LA-S329,CORIVWCH_WQX-4846,38.1259,-104.3692,Arkansas - LA-S329,CORIVWCH_WQX-4846,38.1259,-104.3692,0.0,0.0,True,True
Arkansas - LA-OX01,CORIVWCH_WQX-4809,38.0542,-103.6743,Arkansas - LA-OX01,CORIVWCH_WQX-4809,38.0542,-103.6743,0.0,0.0,True,True
Arkansas - LA-F048,CORIVWCH_WQX-4825,38.0853,-103.1243,Arkansas - LA-F048,CORIVWCH_WQX-4825,38.0853,-103.1243,0.0,0.0,True,True
Arkansas - LA-N160,CORIVWCH_WQX-4848,39.0702,-103.685,Arkansas - LA-N160,CORIVWCH_WQX-4848,39.0702,-103.685,0.0,0.0,True,True
Cheyenne Cr - Canon Sch,CORIVWCH_WQX-610,38.79803811,-104.8480954,Cheyenne Cr - Canon Sch,CORIVWCH_WQX-610,38.79803811,-104.8480954,0.0,0.0,True,True
ADOBE CREEK @ HWY 194,21COL001_WQX-7524,38.084883,-103.310867,ADOBE CREEK @ HWY 194,21COL001_WQX-7524,38.084883,-103.310867,0.0,0.0,True,True
