Location_Name,Location_Identifier,Latitude,Longitude
"TIMPAS CREEK AT MOUTH NEAR SWINK, CO.",USGS-07121500,38.0030644,-103.6560588
SC01306325DDD,USGS-385254104231801,38.88181944,-104.3883
PUEBLO RESERVOIR SITE 5C,USGS-381559104465500,38.2663918,-104.7824795
"ARKANSAS RIVER NEAR ROCKY FORD, CO.",USGS-07120500,38.06528559,-103.6860593
SC01306334BBD,USGS-385246104262201,38.8795,-104.4394806
"FOUNTAIN CREEK AT PUEBLO, CO.",USGS-07106500,38.28778013,-104.6010849
"ARKANSAS RIVER NEAR AVONDALE, CO.",USGS-07109500,38.24805799,-104.3991356
"MONUMENT CREEK AT BIJOU ST. AT COLO. SPRINGS, CO",USGS-07104905,38.83721474,-104.8294192
"FOUNTAIN CREEK AT COLORADO SPRINGS, CO",USGS-07105500,38.81638158,-104.8227519
"WIDEFIELD WASTEWATER OUTFALL NEAR WIDEFIELD, CO",USGS-384307104432701,38.71860728,-104.7246944
"FOUNTAIN CR ABV 40TH ST AT PUEBLO, CO",USGS-381840104361001,38.31113889,-104.6028889
PUEBLO RESERVOIR SITE 7B,USGS-381602104435200,38.26722505,-104.7316446
"FOUNTAIN CR BLW JANITELL RD BLW COLO. SPRINGS, CO",USGS-07105530,38.80304911,-104.7958069
"ARKANSAS RIVER AT LAMAR, CO",USGS-07133000,38.10579167,-102.6182056
"FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.",USGS-07103700,38.85471357,-104.8780314
"FOUNTAIN CREEK BL 8TH ST., AT COLO. SPRINGS, CO.",USGS-07103707,38.82943667,-104.8396969
"MONUMENT CREEK AT PIKEVIEW, CO.",USGS-07104000,38.91777057,-104.8185877
"HUERFANO RIVER NEAR BOONE, CO.",USGS-07116500,38.22500241,-104.2607996
"ARKANSAS RIVER BELOW MOFFAT STREET AT PUEBLO, CO",USGS-07099971,38.253275,-104.6028778
"FOUNTAIN CR AT EAST RIVER ST AT PUEBLO, CO",USGS-381601104355801,38.26691667,-104.5995278
"MONUMENT CR ABV WOODMEN RD AT COLORADO SPRINGS, CO",USGS-07103970,38.9338817,-104.8171992
MONUMENT CR AQUEDUCT AT TREMONT ST AT CO SPRNG,USGS-385203104494301,38.86752778,-104.8286111
DOUGLAS CR DRAIN AT SINTON RD AT CO SPRG(CULVERT),USGS-385259104500201,38.88318889,-104.834125
"FOUNTAIN CREEK NEAR PINON, CO",USGS-07106300,38.42944444,-104.5980556
SPRING CK DS LAS VEGAS ST,USGS-384833104473900,38.80916023,-104.7946959
PUEBLO RESERVOIR SITE 3B,USGS-381725104494400,38.29028038,-104.8294251
"RUXTON CR AT MOUTH AT MANITOU SPRINGS, CO",USGS-385134104550901,38.85957778,-104.9191167
SC01406633DAA BARNES,USGS-384718104463701,38.78832756,-104.7774731
SC01606506DAA FOUNTAIN 2,USGS-384108104420701,38.68555233,-104.7024722
"BEAR CR ABOVE 8TH STREET AT COLORADO SPRINGS, CO",USGS-384909104504401,38.81916667,-104.8455556
"MONUMENT CREEK AT PALMER LAKE, CO",USGS-07103747,39.10255556,-104.8922778
"PURGATOIRE RIVER NEAR LAS ANIMAS, CO",USGS-07128500,38.03422222,-103.2014167
SC01606529ACD2 HRLC-04,USGS-383743104411702,38.62860874,-104.6885838
