Location_Name,Location_Identifier,Latitude,Longitude
Wildhorse Creek above Pesthouse,21COL001_WQX-CO0040789-AUX4,38.296522,-104.649211
Wildhorse Creek @ Whitlock Flume aka Wildhorse above Arkansas,21COL001_WQX-CO0040789-AUX3,38.276144,-104.638878
ARKANSAS R. @ HOLLY @ HWY 89,21COL001_WQX-7810,38.0435,-102.118472
ARKANSAS R. BLW. JOHN MARTIN RES.,21COL001_WQX-7805,38.068556,-102.927167
MONUMENT CREEK AT ARNOLD AVE BRIDGE,21COL001_WQX-7303,39.073533,-104.87451
ARKANSAS R. @ HWY 50 & 287 BRIDGE NEAR LAMAR,21COL001_WQX-000002,38.105383,-102.617667
Pesthouse Flume above Wildhorse Creek,21COL001_WQX-CO0040789-AUX2,38.296408,-104.649464
SIXMILE CK. @ HWY 50,21COL001_WQX-7510,38.244,-104.396
CLAY CK @ HWY 50,21COL001_WQX-7850,38.091833,-102.530167
WILDHORSE CREEK ABV. HWY 50,21COL001_WQX-7295,38.313194,-104.652611
ARKANSAS R. BLW. PUEBLO RES.,21COL001_WQX-7290,38.271278,-104.717611
SALT CK. @ CONFL. W/ ARKANSAS R.,21COL001_WQX-7298A,38.249694,-104.587556
"Pueblo Reservoir, Pueblo County, CO, USA",NALMS-F169353,38.26836833,-104.727125
"Adobe Creek Reservoir, Bent County, CO, USA",NALMS-F195347,38.27449833,-103.2315967
"Monument Lake, El Paso County, CO, USA",NALMS-F193245,39.09088,-104.8780867
PROSPECT LAKE SITE 2 TOP,21COL001_WQX-7410C1,38.82674,-104.802622
PROSPECT LAKE SITE 3 TOP,21COL001_WQX-7410D1,38.82254,-104.79758
QUAIL LAKE SITE 2 TOP,21COL001_WQX-7409B1,38.78473,-104.80582
PROSPECT LAKE SITE 6 TOP,21COL001_WQX-7410H1,38.82543,-104.79654
PROSPECT LAKE SITE 5 TOP,21COL001_WQX-7410G1,38.82781,-104.801
PROSPECT LAKE SITE 4 TOP,21COL001_WQX-7410F1,38.82407,-104.7951
LAKE HENRY SITE 6 TOP,21COL001_WQX-7830F1,38.25397,-103.703661
FOUNTAIN CREEK #4 - BETWEEN 8TH ST & HWY 24,21COL001_WQX-AR0386,38.829414,-104.839238
GOVE CREEK U/S CONFLUENCE WITH PLUM CREEK,21COL001_WQX-CDPHE_Plum_08,39.21642,-104.96036
AVONDALE WSD INFLUENT,21COL001_WQX-TIN_AVONDALE_INF,38.24082,-104.336542
AVONDALE WSD END OF WETLAND,21COL001_WQX-TIN_AVONDALE_WET,38.2401036,-104.336894
BLACK SQUIRREL CREEK,21COL001_WQX-7835A,38.42945,-104.381176
PUEBLO RESERVOIR [BOTTOM],21COL001_WQX-AR1639-B,38.2634,-104.73438
AVONDALE WSD LAGOON CELL #1,21COL001_WQX-TIN_AVONDALE_LAGCELL1,38.242044,-104.335769
SALT CK. @ CONFL. W/ ARKANSAS R.,21COL001_WQX-7298A,32.24868817,-104.589222
WEST PLUM CREEK U/S OF HAYSTACK RANCH,21COL001_WQX-CDPHE_Plum_06,39.21979,-104.97757
AVONDALE WSD LAGOON CELL #2,21COL001_WQX-TIN_AVONDALE_LAGCELL2,38.240383,-104.334744
AVONDALE WSD LAGOON CELL #3,21COL001_WQX-TIN_AVONDALE_LAGCELL3,38.241094,-104.334575
GRAVEYARD CREEK AT RD NN,21COL001_WQX-7820,38.158,-102.81
RAMPART RESERVOIR - BOTTOM,21COL001_WQX-AR1148-B,38.981391,-104.969728
RAMPART RESERVOIR - TOP,21COL001_WQX-AR1148-T,38.981391,-104.969728
ADOBE CREEK RESERVOIR [TOP],21COL001_WQX-AR1604-T,38.2594,-103.252
"ARKANSAS RIVER #3B, BLW VALCO BRIDGE SPECIAL REGULATION STRETCH (#2)",21COL001_WQX-AR3153,38.264433,-104.682753
CUCHARAS RIVER DS KEYSTONE CANYON (NEAR COUNTY ROAD 123),21COL001_WQX-7653,37.843751,-104.570365
MONUMENT CR AT BAPTIST RD,21COL001_WQX-MONCRK03,39.0569444,-104.8625
LAKE MEREDITH - TOP,21COL001_WQX-AR1612-T,38.191818,-103.701644
NEE NOSHE RESERVOIR - TOP,21COL001_WQX-AR1614-T,38.337203,-102.685473
UNNAMED ARROYO ON PUEBLO STATE WILDLIFE AREA,21COL001_WQX-7282,38.2722,-104.81017
JOHN MARTIN RESERVOIR SITE 3 TOP,21COL001_WQX-7524C1,38.075789,-102.950187
NEE NOSHE RESERVOIR - BOTTOM,21COL001_WQX-AR1614-B,38.337203,-102.685473
PUEBLO RESERVOIR SITE 3 TOP,21COL001_WQX-7810C1,38.253391,-104.738797
ADOBE CREEK RESERVOIR SITE 7 TOP,21COL001_WQX-7825G,38.264485,-103.240076
